English word,French word,Frequency
horse,cheval,235
fiery,ardent,47
solemn,solennel,38
captain,capitaine,54
special,spécial,38
instant,instant,61
blest,heureux,50
strange,étrange,241
cheek,joue,76
breath,souffle,207
virtue,vertu,169
stone,calcul,63
sword,épée,348
quick,rapide,96
judgment,jugement,101
force,Obliger,103
morrow,demain,323
former,ancien,63
spirit,esprit,253
shore,rive,48
welcome,Bienvenue,271
slave,esclave,125
watch,regarder,117
servant,serviteur,142
jealous,jaloux,49
affairs,affaires,66
crave,demander,41
bound,lié,172
suffer,souffrir,78
patience,la patience,160
pardon,pardon,227
doing,Faire,67
brains,cerveaux,45
wonder,merveille,113
worse,pire,151
flourish,fleurir,38
awake,éveillé,62
remedy,remède,59
indeed,En effet,358
contrary,contraire,47
knife,couteau,52
kingdom,Royaume,91
taught,enseigné,47
fears,peurs,74
power,Puissance,302
action,action,112
flower,fleur,45
gates,portes,101
steel,acier,67
fearful,craintif,90
beggar,mendiant,59
faith,Foi,311
authority,autorité,51
doctor,docteur,31
simple,Facile,72
advantage,avantage,70
blush,rougir,47
bastard,Connard,64
durst,durst,45
voice,voix,157
commend,saluer,58
seeing,voyant,42
guess,devine,47
measure,mesure,87
smell,odeur,47
weeds,mauvaises herbes,42
common,commun,151
suspect,suspect,35
flies,mouches,56
slander,calomnie,43
remember,rappelles toi,151
perhaps,peut-être,32
devise,concevoir,46
makes,fait du,311
carry,porter,80
coward,lâche,83
ground,sol,165
peace,paix,396
aside,de côté,130
proceed,procéder,47
always,toujours,59
already,déjà,139
brain,cerveau,85
profit,profit,36
double,double,83
grant,subvention,98
thank,remercier,275
faint,perdre connaissance,44
humble,humble,72
yield,rendement,128
blessing,bénédiction,42
gross,brut,55
silence,silence,62
equal,égal,43
story,récit,67
making,fabrication,56
holds,tient,73
something,quelque chose,152
struck,frappé,72
neither,ni,155
familiar,familier,35
ghost,fantôme,29
knowing,connaissance,32
dream,rêver,112
vantage,avantage,40
humour,humour,87
finds,trouve,38
revolt,révolte,41
lords,seigneurs,328
sport,sport,119
finger,doigt,62
queen,reine,178
betray,trahir,37
burden,fardeau,43
fruit,fruit,37
cheer,acclamation,72
forward,vers l'avant,87
despair,désespoir,46
third,troisième,72
colour,Couleur,74
office,Bureau,127
appears,apparaît,49
figure,figure,40
ladies,Dames,93
crown,couronne,257
drops,gouttes,51
express,Express,34
prayers,prières,84
divine,Divin,48
affections,affections,39
proof,preuve,80
guilty,coupable,69
comes,vient,589
patient,patient,85
drink,boisson,147
bitter,amer,73
assure,assurer,46
throw,jeter,88
besides,outre,49
partly,partiellement,33
catch,capture,69
creature,créature,68
plague,peste,88
begin,commencer,102
reason,raison,279
afterwards,ensuite,38
minds,esprits,55
marriage,mariage,117
unknown,inconnue,41
taken,pris,90
sickness,maladie,53
policy,politique,45
goodness,la bonté,54
poison,poison,75
drunk,ivre,67
wounded,blessés,38
maintain,maintenir,38
rather,plutôt,288
heard,entendu,337
falls,des chutes,67
fools,imbéciles,97
render,rendre,40
sooner,plus tôt,60
sound,du son,167
swear,jurer,232
become,devenir,130
herself,se,91
learned,appris,48
whole,entier,120
several,nombreuses,79
credit,crédit,51
habit,habitude,39
manner,manière,80
madness,la démence,67
foolish,insensé,95
deserve,mériter,59
denied,refusé,52
broke,cassé,83
dispatch,envoi,57
follow,suivre,254
angel,ange,54
saint,Saint,25
devil,diable,216
fiend,démon,62
doubt,doute,160
mercy,pitié,169
giving,donnant,34
saying,en disant,50
charge,charge,197
terms,termes,74
dying,en train de mourir,45
desperate,désespéré,50
except,sauf,22
discourse,discours,58
sworn,juré,131
mistake,erreur,34
service,un service,221
worship,culte,93
conscience,conscience,118
treason,trahison,82
bearing,palier,63
accuse,accuser,34
oaths,serments,67
honest,honnête,274
asleep,endormi,59
endure,supporter,73
trial,procès,60
touch,toucher,106
withal,avec,136
chaste,chaste,37
clown,pitre,16
daughter,fille,402
neighbour,voisine,46
palace,palais,151
command,commander,156
passage,passage,35
spoke,parlait,137
season,saison,39
enemy,ennemi,157
understand,comprendre,96
speech,discours,127
bless,bénir,84
undone,défait,52
particular,particulier,54
ambition,ambition,43
itself,lui-même,236
brows,sourcils,43
trick,tour,52
fancy,fantaisie,50
soldier,soldat,134
valiant,vaillant,149
warlike,guerrier,57
marry,marier,180
companion,un compagnon,36
hangs,bloque,34
stomach,estomac,42
anything,n'importe quoi,100
farewell,adieu,160
court,tribunal,249
safety,sécurité,74
valour,valeur,93
business,Entreprise,230
serve,servir,183
counsel,Conseil,128
advice,Conseil,43
ourselves,nous-mêmes,108
native,originaire de,43
pains,des douleurs,91
project,projet,11
fought,combattu,64
cousin,cousin,223
myself,moi même,512
contempt,mépris,43
royal,Royal,205
quoth,quoth,62
knave,fripon,163
sirrah,sirrah,76
commit,commettre,30
fellow,compagnon,298
heads,têtes,110
stood,se tenait,82
sentence,phrase,39
forsooth,en vérité,42
demand,demande,53
knight,Chevalier,117
yourself,toi même,268
choice,choix,70
messenger,Messager,58
brother,frère,520
noble,noble,587
sister,sœur,178
affection,affection,69
encounter,rencontre,51
search,chercher,35
intent,intention,50
danger,danger,98
success,Succès,44
attended,assisté,42
commanded,commandé,35
bought,acheté,51
dance,Danse,68
enter,entrer,363
laugh,rire,83
wings,ailes,54
traitor,traitre,120
uncle,oncle,181
spare,de rechange,47
practice,entraine toi,41
college,Université,3
estate,biens,49
modest,modeste,35
peril,péril,43
minister,ministre,38
proclaim,proclamer,30
courage,courage,57
happiness,bonheur,55
hazard,danger,39
infinite,infini,38
match,rencontre,81
chair,chaise,40
mouth,bouche,133
constable,gendarme,16
warrant,mandat,173
tedious,fastidieux,44
protest,manifestation,52
afraid,peur,41
liege,Liege,138
mighty,puissant,107
unworthy,indigne,31
revenge,vengeance,130
justice,Justice,140
scarce,rare,67
window,la fenêtre,46
lordship,seigneurie,112
commission,commission,47
awhile,quelque temps,101
cares,se soucie,36
priest,prêtre,61
tread,bande de roulement,40
strike,la grève,116
chamber,chambre,117
noise,bruit,107
merry,joyeux,165
whither,où,38
everything,tout,41
tailor,tailleur,32
order,ordre,88
dinner,dîner,88
between,entre,191
displeasure,mécontentement,40
clothes,vêtements,40
entreat,supplier,106
letter,lettre,244
flight,vol,52
quarrel,querelle,93
council,conseil,23
along,le long de,108
country,pays,136
yonder,là-bas,56
dreadful,horrible,59
until,jusqu'à,41
violent,violent,40
heels,talons,73
embrace,embrasse,61
wrath,colère,54
approach,approche,60
labour,la main d'oeuvre,78
misery,misère,37
tarry,goudronneux,35
conduct,conduite,46
hostess,hôtesse,28
surely,sûrement,35
gallant,galant,54
rascal,coquin,58
battle,bataille,113
courtesy,courtoisie,64
offer,offre,85
malice,malice,70
fetch,chercher,102
undertake,entreprendre,44
suddenly,tout à coup,48
deliver,livrer,86
bottom,bas,35
disposition,disposition,44
dishonour,déshonorer,37
midnight,minuit,41
parted,séparé,44
purse,bourse,87
meaning,sens,55
ignorant,ignorant,48
possible,possible,57
swore,juré,50
opinion,opinion,80
proper,correct,61
knock,frappe,54
company,entreprise,202
street,rue,79
hereafter,ci-après, par la suite,45
wench,jeune fille,61
dagger,dague,42
condition,état,54
innocent,innocent,50
behalf,nom,45
rogue,coquin,77
drums,tambours,36
throne,trône,66
kneel,s'agenouiller,53
prince,prince,110
unhappy,malheureux,33
ladyship,Madame,38
belike,être comme,22
henceforth,désormais,25
close,proche,96
rough,rugueux,66
deadly,mortel,50
wives,épouses,56
ancient,ancien,71
utter,prononcer,37
prison,prison,88
train,train,67
people,gens,193
speaks,parle,125
soothsayer,devin,3
names,des noms,49
witch,sorcière,42
loose,ample,50
mirth,gaieté,51
sudden,soudain,78
occasion,occasion,73
piece,pièce,89
scene,scène,34
victory,la victoire,46
natural,Naturel,57
sweat,transpiration,36
abroad,à l'étranger,63
gaunt,décharné,6
doors,des portes,61
intend,avoir l'intention,50
stroke,accident vasculaire cérébral,40
supper,souper,61
custom,Douane,42
ready,prêt,125
villain,scélérat,220
throat,gorge,51
trumpet,trompette,77
blows,coups,68
shortly,prochainement,44
emperor,empereur,15
round,rond,72
lieutenant,lieutenant,31
dread,crainte,46
defend,défendre,65
raise,élever,48
meeting,réunion,50
garden,jardin,45
whore,putain,44
maids,servantes,40
beyond,au-delà,43
staff,Personnel,41
empty,vide,49
satisfied,satisfait,48
personal,personnel,13
challenge,défi,47
armour,armure,41
fairy,Fée,41
hateful,odieux,39
monster,monstre,70
bodies,corps,44
study,étude,57
obedience,obéissance,48
stuff,des trucs,48
visit,visite,50
merchant,marchande,26
provided,à condition de,27
shepherd,berger,54
avoid,éviter,34
reverence,révérence,44
lands,terres,53
brook,ruisseau,39
device,dispositif,43
weeping,larmes,56
chain,chaîne,63
judge,juge,80
niece,nièce,60
smile,sourire,69
forest,forêt,61
church,église,55
seven,Sept,64
slender,mince,10
murder,meurtre,48
knees,les genoux,51
hollow,creux,48
vengeance,vengeance,48
claim,prétendre,62
flood,inonder,47
according,selon,24
fourth,Quatrième,11
degree,diplôme,46
prologue,prologue,19
porter,porter,17
pound,livre,54
damned,damné,42
execution,exécution,48
emilia,Émilie,3
fatal,fatal,42
weapons,armes,40
rivers,rivières,11
tribunes,tribunes,26
senator,sénateur,4
tonight,ce soir,47
exeunt,sortir,7
citizen,citoyenne,5
banish,bannir,30
mischief,sottises,41
regard,qui concerne,41
charity,charité,54
forces,les forces,42
complete,Achevée,19
murther,aller plus loin,34
tempest,tempête,42
realm,domaine,53
steward,intendant,22
castle,Château,49
pistol,pistolet,4
elbow,coude,12
tower,la tour,10
bishop,évêque,3
cardinal,cardinal,6
permission,autorisation,4
includes,comprend,2
protector,protecteur,2
library,bibliothèque,3
countess,comtesse,1
highness,altesse,1
